sku,old_title,new_title,status
"DC72E1","Vòng rung lưỡi liếm tích hợp độn dương vật điều khiển từ xa","Vòng Rung Lưỡi Liếm Tích Hợp Độn Dương Vật Điều Khiển Từ Xa","OK"
"DC72E","Vòng rung lưỡi điều khiển từ xa cao cấp cho nữ chính hãng","Vòng Rung Lưỡi Điều Khiển Từ Xa Cho Nữ","OK"
"BD49G","Bao đôn dên silicon gai mềm có quai đeo tăng khoái cảm nam giới","Bao Đôn Dên Silicon Gai Mềm Có Quai Đeo Tăng Khoái Cảm Nam Giới","OK"
"BD49D1","Bao đôn dên silicon hình dáng độc đáo size nhỏ có quai đeo tiện lợi","Bao Đôn Dên Silicon Hình Dáng Độc Đáo Size Nhỏ Có Quai Đeo Tiện Lợi","OK"
"G13C","Gel bôi trơn gốc nước hương trái cây cao cấp chai 200ml","Gel Bôi Trơn Gốc Nước Hương Trái Cây Cao Cấp 200ml","OK"
"G13C","Gel Bôi Trơn Gốc Nước Hương Trái Cây Cao Cấp 200ml","Gel Bôi Trơn Gốc Nước Hương Trái Cây Cao Cấp 200ml","OK"
"AD34Q","Cốc thủ dâm tự động rung thụt co bóp","Cốc Thủ Dâm Tự Động Rung Thụt Co Bóp","OK"
"EG06A","Trứng rung mini sạc pin Stormy 10 chế độ","Trứng Rung Mini Stormy Sạc Pin 10 Chế Độ","OK"
"EG02A","Trứng rung đa tần có dây Snjan","Trứng Rung Tình Yêu Đa Tần Có Dây Snjan","OK"
"DC38L","Dương vật mini gắn quần chip rung bú liếm, điều khiển từ xa","Dương Vật Mini Gắn Quần Chip Rung Bú Liếm Điều Khiển Từ Xa","OK"
"DV44Z1","Dương vật silicon rung liếm thụt sưởi ấm","Dương Vật Silicon Rung Liếm Thụt Sưởi Ấm","OK"
"DV54P","Dương vật silicon da đen siêu khủng siêu mềm","Dương Vật Giả Rung Silicon Da Đen Siêu Khủng Siêu Mềm","OK"
"DV43G","Dương vật silicon hít đất size nhỏ dáng cong","Dương Vật Giả Silicon Hít Đất Size Nhỏ Dáng Cong","OK"
"DC90KT","Svakom Klitty – Máy Massage Cá Nhân Cao Cấp Nhỏ Gọn, Êm Ái","Máy Massage Cá Nhân Svakom Klitty Cao Cấp Nhỏ Gọn Êm Ái","OK"
